UserID,Role,Round,totalRound,Total,move,roundResult,gameType
434135,first,2,3,100,0,"[100, 0]",dictator
434135,first,3,3,100,0,"[100, 0]",dictator
434136,first,1,3,100,50,"[50, 50]",dictator
434136,first,2,3,100,1,"[99, 1]",dictator
434136,first,3,3,100,40,"[60, 40]",dictator
434138,first,1,3,100,50,"[50, 50]",dictator
434138,first,2,3,100,50,"[50, 50]",dictator
434138,first,3,3,100,50,"[50, 50]",dictator
434414,first,1,3,100,10,"[90, 10]",dictator
434414,first,2,3,100,0,"[100, 0]",dictator
434414,first,3,3,100,25,"[75, 25]",dictator
434590,first,1,3,100,34,"[66, 34]",dictator
434590,first,2,3,100,21,"[79, 21]",dictator
434590,first,3,3,100,10,"[90, 10]",dictator
434876,first,1,3,100,40,"[60, 40]",dictator
434876,first,2,3,100,50,"[50, 50]",dictator
434876,first,3,3,100,50,"[50, 50]",dictator
435085,first,1,3,100,45,"[55, 45]",dictator
435085,first,2,3,100,50,"[50, 50]",dictator
435085,first,3,3,100,40,"[60, 40]",dictator
435163,first,1,3,100,50,"[50, 50]",dictator
435163,first,2,3,100,50,"[50, 50]",dictator
435163,first,3,3,100,0,"[100, 0]",dictator
396333,first,1,3,100,0,"[100, 0]",dictator
396333,first,2,3,100,0,"[100, 0]",dictator
396333,first,3,3,100,0,"[100, 0]",dictator
432446,first,1,3,100,50,"[50, 50]",dictator
432446,first,2,3,100,0,"[100, 0]",dictator
432446,first,3,3,100,25,"[75, 25]",dictator
433030,second,1,3,100,None,"[100, 0]",dictator
433030,second,2,3,100,None,"[100, 0]",dictator
433030,second,3,3,100,None,"[100, 0]",dictator
433030,first,1,3,100,40,"[60, 40]",dictator
433030,first,2,3,100,40,"[60, 40]",dictator
433030,first,3,3,100,40,"[60, 40]",dictator
433300,first,1,3,100,20,"[80, 20]",dictator
433300,first,2,3,100,20,"[80, 20]",dictator
433300,first,3,3,100,20,"[80, 20]",dictator
433300,first,1,3,100,0,"[100, 0]",dictator
433300,first,2,3,100,0,"[100, 0]",dictator
433300,first,3,3,100,0,"[100, 0]",dictator
433371,first,1,3,0,1,"[0, 0]",dictator
433500,first,1,3,100,0,"[100, 0]",dictator
433500,first,2,3,100,0,"[100, 0]",dictator
433500,first,3,3,0,1,"[0, 0]",dictator
433514,first,1,3,100,34,"[66, 34]",dictator
433514,first,2,3,100,34,"[66, 34]",dictator
433514,first,3,3,100,34,"[66, 34]",dictator
433883,first,1,3,100,40,"[60, 40]",dictator
433883,first,2,3,100,50,"[50, 50]",dictator
433883,first,3,3,100,50,"[50, 50]",dictator
433883,first,1,3,100,50,"[50, 50]",dictator
433883,first,2,3,100,33,"[67, 33]",dictator
433883,first,3,3,100,30,"[70, 30]",dictator
433884,first,1,3,100,50,"[50, 50]",dictator
433884,first,2,3,100,0,"[100, 0]",dictator
433884,first,3,3,100,50,"[50, 50]",dictator
433966,second,1,3,100,None,"[75, 25]",dictator
433966,second,2,3,100,None,"[100, 0]",dictator
433966,second,3,3,100,None,"[50, 50]",dictator
433966,first,1,3,100,60,"[40, 60]",dictator
433966,first,2,3,100,25,"[75, 25]",dictator
433966,first,3,3,100,50,"[50, 50]",dictator
433967,second,1,3,100,None,"[50, 50]",dictator
433967,second,2,3,100,None,"[100, 0]",dictator
433967,second,3,3,100,None,"[75, 25]",dictator
433986,second,1,3,100,None,"[50, 50]",dictator
433986,second,2,3,100,None,"[50, 50]",dictator
433986,second,3,3,100,None,"[50, 50]",dictator
433995,second,1,3,100,None,"[50, 50]",dictator
433995,second,2,3,100,None,"[100, 0]",dictator
433995,second,3,3,100,None,"[50, 50]",dictator
433995,first,1,3,100,50,"[50, 50]",dictator
433995,first,2,3,100,40,"[60, 40]",dictator
433995,first,3,3,100,0,"[100, 0]",dictator
434342,second,1,3,100,None,"[50, 50]",dictator
434342,second,2,3,100,None,"[50, 50]",dictator
434342,second,3,3,100,None,"[50, 50]",dictator
434408,first,1,3,100,25,"[75, 25]",dictator
434408,first,2,3,100,0,"[100, 0]",dictator
434408,first,3,3,100,50,"[50, 50]",dictator
434408,first,1,3,100,0,"[100, 0]",dictator
434408,first,2,3,100,0,"[100, 0]",dictator
434408,first,3,3,0,1,"[0, 0]",dictator
434472,second,1,3,100,None,"[100, 0]",dictator
434472,second,2,3,100,None,"[100, 0]",dictator
434472,second,3,3,100,None,"[100, 0]",dictator
434472,first,1,3,100,0,"[100, 0]",dictator
434472,first,2,3,100,0,"[100, 0]",dictator
434472,first,3,3,100,24,"[76, 24]",dictator
434625,second,1,3,100,None,"[66, 34]",dictator
434625,second,2,3,100,None,"[66, 34]",dictator
434625,second,3,3,100,None,"[66, 34]",dictator
434932,second,1,3,100,None,"[80, 20]",dictator
434932,second,2,3,100,None,"[80, 20]",dictator
434932,second,3,3,100,None,"[80, 20]",dictator
434932,first,1,3,0,1,"[0, 0]",dictator
434942,second,1,3,100,None,"[50, 50]",dictator
434942,second,2,3,100,None,"[50, 50]",dictator
434942,second,3,3,100,None,"[50, 50]",dictator
434993,first,1,3,100,50,"[50, 50]",dictator
434993,first,2,3,100,50,"[50, 50]",dictator
434993,first,3,3,100,50,"[50, 50]",dictator
435031,second,1,3,100,None,"[60, 40]",dictator
435031,second,2,3,100,None,"[50, 50]",dictator
435031,second,3,3,100,None,"[50, 50]",dictator
435079,first,1,3,100,50,"[50, 50]",dictator
435079,first,2,3,100,50,"[50, 50]",dictator
435079,first,3,3,100,50,"[50, 50]",dictator
435116,first,1,3,100,50,"[50, 50]",dictator
435116,first,2,3,100,50,"[50, 50]",dictator
435116,first,3,3,100,50,"[50, 50]",dictator
435149,first,1,3,100,0,"[100, 0]",dictator
435149,first,2,3,100,0,"[100, 0]",dictator
435149,first,3,3,100,0,"[100, 0]",dictator
395962,first,1,3,100,0,"[100, 0]",dictator
395962,first,2,3,100,43,"[57, 43]",dictator
395962,first,3,3,100,0,"[100, 0]",dictator
395962,first,1,3,100,49,"[51, 49]",dictator
395962,first,2,3,100,49,"[51, 49]",dictator
395962,first,3,3,100,49,"[51, 49]",dictator
395973,first,1,3,100,4,"[96, 4]",dictator
395973,first,2,3,100,6,"[94, 6]",dictator
395973,first,3,3,100,10,"[90, 10]",dictator
395973,second,1,3,100,None,"[51, 49]",dictator
395973,second,2,3,100,None,"[54, 46]",dictator
395973,second,3,3,100,None,"[50, 50]",dictator
396031,first,1,3,100,50,"[50, 50]",dictator
396031,first,2,3,100,50,"[50, 50]",dictator
396031,first,3,3,100,50,"[50, 50]",dictator
396031,first,1,3,100,50,"[50, 50]",dictator
396031,first,2,3,100,0,"[100, 0]",dictator
396031,first,3,3,100,50,"[50, 50]",dictator
396157,first,1,3,100,50,"[50, 50]",dictator
396157,first,2,3,100,25,"[75, 25]",dictator
396157,first,3,3,100,75,"[25, 75]",dictator
396244,first,1,3,100,50,"[50, 50]",dictator
396244,first,2,3,100,45,"[55, 45]",dictator
396244,first,3,3,100,50,"[50, 50]",dictator
396244,first,1,3,100,49,"[51, 49]",dictator
396244,first,2,3,100,46,"[54, 46]",dictator
396244,first,3,3,100,50,"[50, 50]",dictator
396336,first,1,3,100,50,"[50, 50]",dictator
396336,first,2,3,100,50,"[50, 50]",dictator
396336,first,3,3,100,50,"[50, 50]",dictator
396400,first,1,3,100,50,"[50, 50]",dictator
396400,first,2,3,100,50,"[50, 50]",dictator
396400,first,3,3,100,50,"[50, 50]",dictator
396400,second,1,3,100,None,"[51, 49]",dictator
396400,second,2,3,100,None,"[51, 49]",dictator
396400,second,3,3,100,None,"[51, 49]",dictator
396416,first,1,3,100,50,"[50, 50]",dictator
396416,first,2,3,100,40,"[60, 40]",dictator
396416,first,3,3,100,60,"[40, 60]",dictator
396416,second,1,3,100,None,"[60, 40]",dictator
396416,second,2,3,100,None,"[55, 45]",dictator
396416,second,3,3,100,None,"[50, 50]",dictator
396543,second,1,3,100,None,"[50, 50]",dictator
396543,second,2,3,100,None,"[50, 50]",dictator
396543,second,3,3,100,None,"[90, 10]",dictator
397103,first,1,3,100,50,"[50, 50]",dictator
397103,first,2,3,100,50,"[50, 50]",dictator
397103,first,3,3,100,50,"[50, 50]",dictator
397259,second,1,3,100,None,"[50, 50]",dictator
397259,second,2,3,100,None,"[100, 0]",dictator
397259,second,3,3,100,None,"[50, 50]",dictator
397260,first,1,3,100,40,"[60, 40]",dictator
397260,first,2,3,100,45,"[55, 45]",dictator
397260,first,3,3,100,50,"[50, 50]",dictator
397293,first,1,3,100,50,"[50, 50]",dictator
397293,first,2,3,100,48,"[52, 48]",dictator
397293,first,3,3,100,52,"[48, 52]",dictator
397293,first,1,3,100,50,"[50, 50]",dictator
397293,first,2,3,100,50,"[50, 50]",dictator
397293,first,3,3,100,92,"[8, 92]",dictator
397318,first,1,3,100,50,"[50, 50]",dictator
397318,first,2,3,100,50,"[50, 50]",dictator
397318,first,3,3,100,10,"[90, 10]",dictator
397337,first,1,3,100,35,"[65, 35]",dictator
397337,first,2,3,100,30,"[70, 30]",dictator
397337,first,3,3,100,30,"[70, 30]",dictator
397337,second,1,3,100,None,"[50, 50]",dictator
397337,second,2,3,100,None,"[50, 50]",dictator
397337,second,3,3,100,None,"[50, 50]",dictator
397343,first,1,3,100,45,"[55, 45]",dictator
397343,first,2,3,100,43,"[57, 43]",dictator
397343,first,3,3,100,40,"[60, 40]",dictator
397343,second,1,3,100,None,"[50, 50]",dictator
397343,second,2,3,100,None,"[50, 50]",dictator
397343,second,3,3,100,None,"[50, 50]",dictator
365041,first,1,3,100,0,"[100, 0]",dictator
365041,first,2,3,100,0,"[100, 0]",dictator
365041,first,3,3,100,0,"[100, 0]",dictator
365041,first,1,3,100,25,"[75, 25]",dictator
365041,first,2,3,100,25,"[75, 25]",dictator
365041,first,3,3,100,25,"[75, 25]",dictator
432224,second,1,3,100,None,"[75, 25]",dictator
432224,second,2,3,100,None,"[75, 25]",dictator
432224,second,3,3,100,None,"[75, 25]",dictator
432231,first,1,3,100,15,"[85, 15]",dictator
432231,first,2,3,100,15,"[85, 15]",dictator
432231,first,3,3,100,25,"[75, 25]",dictator
432582,first,1,3,100,27,"[73, 27]",dictator
432582,first,2,3,100,0,"[100, 0]",dictator
432582,first,3,3,100,54,"[46, 54]",dictator
432582,first,1,3,100,50,"[50, 50]",dictator
432582,first,2,3,100,50,"[50, 50]",dictator
432582,first,3,3,100,44,"[56, 44]",dictator
432597,first,1,3,100,20,"[80, 20]",dictator
432597,first,2,3,100,10,"[90, 10]",dictator
432597,first,3,3,100,5,"[95, 5]",dictator
432597,second,1,3,100,None,"[61, 39]",dictator
432597,second,2,3,100,None,"[50, 50]",dictator
432597,second,3,3,100,None,"[76, 24]",dictator
433153,first,1,3,100,0,"[100, 0]",dictator
433153,first,2,3,100,0,"[100, 0]",dictator
433153,first,3,3,100,5,"[95, 5]",dictator
433375,second,1,3,100,None,"[98, 2]",dictator
433375,second,2,3,100,None,"[31, 69]",dictator
433375,second,3,3,100,None,"[100, 0]",dictator
434067,first,1,3,100,0,"[100, 0]",dictator
434067,first,2,3,100,0,"[100, 0]",dictator
434067,first,3,3,100,2,"[98, 2]",dictator
434327,first,1,3,100,50,"[50, 50]",dictator
434327,first,2,3,100,42,"[58, 42]",dictator
434327,first,3,3,100,25,"[75, 25]",dictator
434327,first,1,3,100,50,"[50, 50]",dictator
434327,first,2,3,100,50,"[50, 50]",dictator
434327,first,3,3,100,50,"[50, 50]",dictator
434328,first,1,3,100,40,"[60, 40]",dictator
434328,first,2,3,100,17,"[83, 17]",dictator
434328,first,3,3,100,23,"[77, 23]",dictator
434328,first,1,3,100,39,"[61, 39]",dictator
434328,first,2,3,100,50,"[50, 50]",dictator
434328,first,3,3,100,24,"[76, 24]",dictator
434413,second,1,3,100,None,"[50, 50]",dictator
434413,second,2,3,100,None,"[75, 25]",dictator
434413,second,3,3,100,None,"[100, 0]",dictator
434426,second,1,3,100,None,"[50, 50]",dictator
434426,second,2,3,100,None,"[50, 50]",dictator
434426,second,3,3,100,None,"[56, 44]",dictator
434487,first,1,3,100,10,"[90, 10]",dictator
434487,first,2,3,100,20,"[80, 20]",dictator
434487,first,3,3,100,25,"[75, 25]",dictator
434487,second,1,3,100,None,"[100, 0]",dictator
434487,second,2,3,100,None,"[100, 0]",dictator
434487,second,3,3,100,None,"[95, 5]",dictator
434630,first,1,3,100,50,"[50, 50]",dictator
434630,first,2,3,100,25,"[75, 25]",dictator
434630,first,3,3,100,0,"[100, 0]",dictator
434689,second,1,3,100,None,"[100, 0]",dictator
434689,second,2,3,100,None,"[100, 0]",dictator
434689,second,3,3,100,None,"[98, 2]",dictator
434852,first,1,3,100,50,"[50, 50]",dictator
434852,first,2,3,100,20,"[80, 20]",dictator
434852,first,3,3,100,0,"[100, 0]",dictator
434852,second,1,3,100,None,"[100, 0]",dictator
434852,second,2,3,100,None,"[80, 20]",dictator
434852,second,3,3,0,None,"[0, 0]",dictator
434857,first,1,3,0,1,"[0, 0]",dictator
434857,second,1,3,100,None,"[85, 15]",dictator
434857,second,2,3,100,None,"[85, 15]",dictator
